Tarih,Sezon,Lig,Ev Sahibi,Deplasman,MS Skor,IY Skor,MS Sonucu,Toplam Gol,KG Var
2022-08-14,2022,Ekstraklasa,Lech Poznan,Slask Wroclaw,0 - 1,0 - 1,2,1,Yok
2022-08-15,2022,Ekstraklasa,Korona Kielce,Warta Poznań,0 - 1,0 - 1,2,1,Yok
2022-08-19,2022,Ekstraklasa,Jagiellonia,Miedz Legnica,2 - 1,0 - 1,1,3,Evet
2022-08-19,2022,Ekstraklasa,Legia Warszawa,Gornik Zabrze,2 - 2,0 - 1,X,4,Evet
2022-08-20,2022,Ekstraklasa,Wisla Plock,Korona Kielce,2 - 1,1 - 0,1,3,Evet
2022-08-20,2022,Ekstraklasa,Slask Wroclaw,Cracovia Krakow,1 - 1,1 - 1,X,2,Evet
2022-08-20,2022,Ekstraklasa,Warta Poznań,Widzew Łódź,0 - 1,0 - 0,2,1,Yok
2022-08-21,2022,Ekstraklasa,Zaglebie Lubin,Radomiak Radom,0 - 1,0 - 0,2,1,Yok
2022-08-21,2022,Ekstraklasa,Piast Gliwice,Stal Mielec,4 - 0,1 - 0,1,4,Yok
2022-08-26,2022,Ekstraklasa,Gornik Zabrze,Jagiellonia,1 - 1,0 - 1,X,2,Evet
2022-08-26,2022,Ekstraklasa,Stal Mielec,Legia Warszawa,0 - 1,0 - 0,2,1,Yok
2022-08-27,2022,Ekstraklasa,Radomiak Radom,Korona Kielce,0 - 2,0 - 1,2,2,Yok
2022-08-27,2022,Ekstraklasa,Miedz Legnica,Lechia Gdansk,2 - 1,1 - 0,1,3,Evet
2022-08-27,2022,Ekstraklasa,Pogon Szczecin,Zaglebie Lubin,3 - 0,1 - 0,1,3,Yok
2022-08-27,2022,Ekstraklasa,Widzew Łódź,Wisla Plock,2 - 1,1 - 0,1,3,Evet
2022-08-28,2022,Ekstraklasa,Cracovia Krakow,Warta Poznań,0 - 2,0 - 0,2,2,Yok
2022-08-28,2022,Ekstraklasa,Slask Wroclaw,Raków Częstochowa,1 - 4,0 - 1,2,5,Evet
2022-08-28,2022,Ekstraklasa,Lech Poznan,Piast Gliwice,1 - 0,1 - 0,1,1,Yok
2022-08-31,2022,Ekstraklasa,Raków Częstochowa,Pogon Szczecin,1 - 0,0 - 0,1,1,Yok
